"Time","Traj"
"0","-3.282283"
"17","-3.355425"
"33","-3.594691"
"50","-4.059749"
"67","-4.677655"
"83","-5.29562"
"100","-5.74622"
"117","-5.884566"
"133","-5.634877"
"150","-5.064169"
"167","-4.384865"
"183","-3.8273"
"200","-3.500365"
"217","-3.385249"
"233","-3.454063"
"250","-3.738652"
"267","-4.251955"
"283","-4.900337"
"300","-5.497102"
"317","-5.840666"
"333","-5.814976"
"350","-5.449449"
"367","-4.894002"
"383","-4.360049"
"400","-4.043452"
"417","-4.029696"
"433","-4.277339"
"450","-4.688994"
"467","-5.159747"
"483","-5.57541"
"500","-5.816075"
"517","-5.800881"
"533","-5.536852"
"550","-5.111346"
"567","-4.645553"
"583","-4.263058"
"600","-4.070635"
"617","-4.124233"
"633","-4.400518"
"650","-4.810034"
"667","-5.238658"
"683","-5.582408"
"700","-5.764277"
"717","-5.742731"
"733","-5.520473"
"750","-5.149066"
"767","-4.728094"
"783","-4.388872"
"800","-4.245685"
"817","-4.34101"
"833","-4.634083"
"850","-5.030383"
"867","-5.414452"
"883","-5.682795"
"900","-5.779494"
"917","-5.699955"
"933","-5.462235"
"950","-5.105088"
"967","-4.714984"
"983","-4.41103"
"1000","-4.284322"
"1017","-4.361576"
"1033","-4.614307"
"1050","-4.978194"
"1067","-5.363489"
"1083","-5.670779"
"1100","-5.819621"
"1117","-5.77672"
"1133","-5.56463"
"1150","-5.244933"
"1167","-4.901493"
"1183","-4.632742"
"1200","-4.511601"
"1217","-4.515357"
